title,content,vote,comment
 건국대 대학 서적 파는데 , 제가 얼마전에 건대 쪽으로 이사 왔는데 급하게 대학 서적을 사야하는대요. 건대에서 대학 서적 파는 서점 어디에 있는지 아시나요 ㅠ 혹시 책 인쇄 , 0 , 2 
 수저가 월요일 휴무지?ㅠㅠ , ㅈㄱㄴ , 0 , 3 
 경수기가 전공예비야 전공기초야? , ㅈㄱㄴ , 0 , 2 
 계절 조직행동이론 , 아... 자다가 이제 일어낫다... 오늘 수업 중요한내용이나 공지 잇엇나요? , 0 , 0 
 동기들 , 우리 근데 학과 내 동기들끼리 단체 만남? 모임? 같은거 해도 되는 거야...? , 0 , 9 
 이 말은 30일 23시59분까지 제출인가? , 7월1일이 되기 전까지 제출 맞겠지? , 0 , 1 
 선배님들 , 성성취소하려면 신청분반 교수님께 직접말씀드려야 하는건가요? 인성교육센터 문의 메일로 메일을 보내도 답장이 안와서.. , 0 , 2 
 휴학증명서 종봉실에서 떼면 무료야?? , 세인트에서는 유료라던데 오프라인은 무료인가? , 0 , 5 
 자글 언제 나와dhshwvdhdh , 자글 자글 자글 자글 자글 자글 자글 자글 자글 자글 자글 자글 지글 자글 자글 자글 자글 자글 자글 자글 자글 자글 자글 자글 자글 자글 자글 , 0 , 4 
 홍진영 교수님 글의 들어본 사람~~? , 이거 교재 사야 돼? 미리 답변 고마워~~ , 0 , 2 
 ㅂㄱㅎ 현대국제기구의이해 , 필자 A0 그대들은 성적 무엇? 착한 음색에 감춰진 교수님의 이면인건가 아니면 에이에서 쁠제마로 나누신 천사신건가 판가름 해보자고 , 0 , 14 
 단체모임 , 단체로 모이는거 어떻게 생각해...? 고딩 때 친구들 한 20명 넘게 모일 것 같은데 안가는게 낫겠지...? 다들 넘 아무렇지 않게 생각하던데  , 0 , 4 
 오세제 교수님 한세 서평은 어디에다 제출해? , 제곧내!ㅜ , 0 , 1 
 어제자 회계사 2차 보고 온 후기 , 작년에 이어서 2차를 보게 됐는데 진짜 여기가 현세의 지옥이구나 싶었다... 올해도 작년에 이어 꽤 어렵게 출제한 감이 있는데 사람들 여기저기서 , 0 , 5 
 저어 밑에 강아지 vs 보고 써보는 강아지 vs놀이 , 1. 10년동안 같이 살아 정이 엄청 든 자기 집 강아지의 남은 수명이 5년임을 알게 됨 2. 제안을 받아들일지 선택한다 우리집 강아지 수명 2 , 0 , 8 
 하..진선미성 나만 진짜 개망한거같아.. , ㅠㅠ , 0 , 4 
 토플 공부 ," 토플 준비해보신 분들! 인강, 학원, 언교원 등 후기나 조언..?같은 거 부탁해용ㅠ 우선 우리학교말고 다른학교 언교원에서 토플 공부 시작할 생각 ", 0 , 4 
 미정이 성적 뜸 , 기분 좋네 , 0 , 7 
 전공 비쁠 절대 패스 ㄴㄴ지? , ㅈㄱㄴ , 0 , 7 
 방학공부 오픈채팅 ," 방학동안 태만하지 않도록 공부방을 만들어 보았습니다. 서로 오늘 할 일,목표 등 대화를 주고 받으며 의욕을 가질 수 있을 것 같습니다. http ", 1 , 2 
 한세 오세제 교수님 , 참고자료 없이 수업 따라가기 힘들어? 교수님 공지쓰셨는데 많이 겁주시네;; , 0 , 5 
 &lt;공지&gt; ," 교수님들, 학점 제출 기한은 7월 5일 일요일입니다. late 시 제출은 받으나, late 한 일자 하루당 10퍼센트씩 성적이 가산된다는 것을  ", 40 , 4 
 피티 합리적인가격으로 받는방법 있나요 , 피티 가격 싼 학교주변헬스장알려주세요! 아트센터가 안열어서ㅠㅠ , 0 , 1 
 담학기도 절평일까? , ㅈㄱㄴ , 0 , 1 
 경영 A!!!!!!!!!!!!!!!!!!! ," 다들 잘있어...? 보고싶다,,, ", 0 , 8 
 남사친 선물로 , 뭐가 좋을까? 가격은 비슷해 먹는순간의 행복을 주는 치킨세트 vs 오래오래 쓸 수 있는 스타벅스 텀블러 고민되네.. , 0 , 16 
 전필이 d 나왔는데 , 그냥 패스할까 d여서 gpa도 떡락 시키고 무엇보다 나는 이걸 다시 듣기 싫음 , 0 , 17 
 ㅇㅊㅎ 인지심리학 , 줌 강의하고 녹화해서 사캠에도 올려주셔?? , 0 , 2 
 일반화학1 이용우교수님 , 내일 수업 하시는데 계절 시작하는데 줌수업인거같은데 왜 공지가 아직도 없지? 강의 계획서에선 줌수업을 한다라고만 나와있고... 수업 ppt도 전 , 1 , 8 
 저기 , 혹시 세인트 메일 해킹 당한 적 있는 사람 있니ㅠㅠ , 0 , 1 
 교양B쁠이면 패스? , 하는게 맞나요? , 0 , 23 
 진입장벽 낮은 게임 소개좀 시켜줘잉 , 롤 피파 배그 말구 , 0 , 27 
 로스트사가 하는사람 , 복귀할까 생각중인데 복귀견적좀 내줘잉 , 0 , 30 
 복전 취소 기한 , 복전 중인데 나중에 취소하고 싶을 때 몇 학기 지나서도 언제든지 취소할 수 있나요? , 0 , 2 
 헐 나 지금 집사부일체 보는데 , 카카오게임 ceo분 서강대 경영이시네...갑자기 뽕 찬다ㅎㅎ , 2 , 8 
 최현순 교수님 진선미성 , 성적 떴는데 다들 뭐 받았어 난 개대충 했는데 A0나와서 뿌리신 건가 , 0 , 7 
 동아리 , 동아리에서 만났는데 먼저 연락하는거 괜찮을까? , 0 , 4 
 일생실2 , 일생실1 안들어도 일생실2 들을 수 있어?? , 0 , 1 
 스포츠생리학 , 스포츠생리학 교수님 아직 메일 안 보셨는데 다들 그래..? , 0 , 6 
 학교 메일로 다른사람한테 메일 보내면 수신확인 따로 안되낭 , 읽었는지 안읽었는지 알고싶은데 보낸메일함 들어가도 따로 안뜨네ㅜ , 0 , 6 
 문과 취업 , 3학기라 진짜 몰라서 그러는데 요즘 취업하기가 얼마나 어려워..?이과도 어렵다고 하던데..ㅜㅜㅜ , 0 , 9 
 얘 이름 뭔지 아는 사람 있습니까? , 산책하다 되게 커여운 친구들을 봤네요 , 2 , 17 
 양론 스페셜아싸 포기한사람 있음? , c-인데 한문제 거의 30분씩 걸리네.. 그냥 패쓰로 돌려야하나? , 0 , 7 
 2학기 싸강 오피셜뜬 학교있나? , 설대 성대 싸강이라던데 진짜야? , 0 , 11 
 A뿌리는 과목들은 다 어디 학과 수업이야?? , 나는 교수님들이 다 정직하게 성적 주셨거든 상대평으로 과제 출석 열심히 해도 A안나온 게 짜증날 정돈데  여기 A뿌렸냐는 말 올라오니까 먼가 내 , 0 , 5 
 나랑 피파할사람! , 피파하자 !! 나는 리버풀이야 , 0 , 11 
 인턴십 계절학기학점 신청 안했는데 , 지금 신청해도 받아줄까..?ㅜㅜ , 0 , 0 
 진선미성 성적 , ㅈㄴ 망했는데 나만 그럼?? 하라는 거 다 참여하고 답안도 나름 만족스러웠는데 어이없는 상황.. , 1 , 7 
 계절학기 공지 , 혹시 다들 싸캠에 계절학기 어떻게 진행하는지 공지 올라왔어??왜 난 아무 공지가 없는거지... , 0 , 8 
 라식/라섹 질문있어여.... , 이번 방학 때 라식이나 라섹하려하는데 서강대 제휴로 하신분들께 여쭤보고싶어요!  이런 라식/라섹 첨이라서...여러면에서 걱정되는데 괜찮을까요? , 0 , 11 
 지금 전과목 에이쁠이면 , 일반적인 학기였어도 학점이 좋았겠지..? 6개중에 4개 떴고 4개다 에이쁠인데 아무래도 코로나시국에 절평이라 성적 뿌리는거같아서 보람차지가 않다 , 0 , 11 
 냐옹 , 냐옹 , 5 , 1 
 동아시아 철학고전 읽기 레포트 분량 , ㅈㅅㅎ교수님 동철고 기말레포트 5장이라고 하셨는데 그럼 5페이지 인거야 10페이지 인거야?? 지금까지는 과제가 1 장이라고 하셔서 다들 한 쪽  , 0 , 4 
" ""명문대생은 생계 걱정없이 취준만 하는 특권층"" "," 하지만 ""아들의 노력은 보상 받아야"" -김두관 더불어민주당 의원 ", 6 , 7 
 계절 ㄱㅎㅈ교수님 응수2듣는사람?? , 사캠에 아직 아무것도 안올라왔던데 혹시  수업어떻게 진행되는지 아는사람있어? , 0 , 0 
 줌강의 질문있어요 , 이번 1학기는 사이버캠퍼스에서 녹화강의만 들어서 실시간 줌강의는 잘 모르는데 계절학기로 듣게 될거같아요 줌으로 진행하는 수업도 녹화된 수업처럼  , 0 , 2 
 컴공 이산구조!! (선배님 도움도움!!) ," 컴공 새내기,,,라기엔 이제 2학기생 정든내기입니다! 2학기 이산구조 (ㅈㅎㅅ교수님) 교재랑 수업방식 알려주실 수 있나요?? ", 0 , 6 
 과거 청산 , 고딩 때 존나 군기잡던 선배가 있다 친구들(나도 포함) 불러서 무릎 꿇리고 욕하던 사람들이다 그런데 학교에서는 침묵했다 그 선배들은 서울대 연대 , 1 , 6 
 방학 토플 , 여름방학동안 로욜라 도서관 통해서 토플공부하려고 하는데 새내기라 어떻게 시작해서 무슨강좌를 들어야하는지 잘 모르겠어요. 선배님들 조언해주세요!  , 0 , 5 
 여의도 더리브스타일 , 여기로 이사가거나 자취방 잡은 서강인 ? , 0 , 1 
 종강하고 , 여친이랑 어디가지  * 여친 통금 11시 여친 외박 쌉불가능. 난 가능(즉 1박 2일 안됨) 나랑 여친 김해 삼(부산 옆) 나 다이아임 ㅎ , 0 , 14 
 막학기 21학점 에바임? , 막학기(7학기)에 못해도 18학점은 들으려 하는데 비추함? 취업준비로 공부시간 뺏길거 대비해서 6학기 및 방학때 미리 공부할 생각. 틈틈히 , 0 , 5 
" 스테디셀러, 주력상품, 잘팔리는상품 ", 이거랑 비슷한 의미인데 다른 단어 있지 않았나?? 세글자였던 느낌인데.. 글자수는 정확하진 않아!!ㅠㅠ , 0 , 9 
 영토세!!! , 영토세 줌 계정이나 비번 교수님이 알려주셨나요...? 못 찾겠어서 ㅜㅜㅜ , 0 , 6 
 헤이 프로페서 , 업로드 그래이드 아더와이즈 아 킬 유 와이 돈 업로드? 저스트 오 엓스 아 캔ㅌ 언더수튜ㅔㄴ , 3 , 2 
